name,appid_steam_games,genre,tags,positive_rating
Grand Theft Auto V,271590,"Action, Adventure","Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First-Person, Shooter, Mature, Adventure, Singleplayer, Third-Person Shooter, Racing, Co-op, Atmospheric, Sandbox, Funny, Great Soundtrack, Comedy, Moddable",85.6
Monster Hunter Stories 2: Wings of Ruin,1277400,"Adventure, RPG","RPG, Adventure, JRPG, Exploration, 3D, Cartoony, Dragons, Third Person, Fantasy, Loot, PvE, Character Customization, Emotional, Creature Collector, Turn-Based, PvP, Story Rich, Multiplayer, Hunting, Online Co-Op",82.2
ELDEN RING,1245620,"Action, RPG","Souls-like, Dark Fantasy, RPG, Open World, Difficult, Action RPG, Third Person, Fantasy, Multiplayer, Singleplayer, Online Co-Op, Action, PvP, Co-op, Violent, Atmospheric, Great Soundtrack, 3D, Character Customization, Family Friendly",91.6
Monster Hunter: World,582010,Action,"Co-op, Multiplayer, Action, Open World, RPG, Third Person, Character Customization, Adventure, Fantasy, Difficult, Singleplayer, Action RPG, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, Souls-like, MMORPG",86
PAYDAY 2,218620,"Action, RPG","Co-op, Action, FPS, Heist, Looter Shooter, Multiplayer, Online Co-Op, Stealth, Crime, Shooter, Team-Based, First-Person, Great Soundtrack, Gun Customization, Tactical, PvE, Strategy, Singleplayer, Funny, Simulation",89.6
Spyro Reignited Trilogy,996580,"Action, Adventure","Adventure, 3D Platformer, Remake, Dragons, Action, Family Friendly, Classic, Singleplayer, Cute, Platformer, Colorful, Fantasy, Cult Classic, Great Soundtrack, Casual, Collectathon, Cartoony, Third Person, Atmospheric, Funny",94.8
Yu-Gi-Oh! Legacy of the Duelist,480650,Simulation,"Card Game, Card Battler, Deckbuilding, Anime, Simulation, Trading Card Game, Multiplayer, Strategy, Singleplayer, Fantasy, Action, Casual, Turn-Based",84.6
Road Redemption,300380,"Action, Adventure, Indie, Racing, Simulation","Racing, Action, Motorbike, Indie, Multiplayer, Local Co-Op, Simulation, Adventure, Violent, Arcade, 4 Player Local, Singleplayer, Local Multiplayer, Gore, Third Person, Funny, Rogue-like, Rogue-lite, Sports, Shooter",82
Vampire Survivors,1794680,"Action, Casual, Indie, RPG","Action Roguelike, Bullet Hell, Pixel Graphics, Rogue-lite, 2D, Indie, Vampire, Singleplayer, Casual, Action, Arcade, RPG, Controller, Retro, Action RPG, Score Attack, Rogue-like, Dark Fantasy, Early Access, 1980s",98.8
Fable Anniversary,288470,RPG,"RPG, Open World, Fantasy, Adventure, Classic, Singleplayer, Remake, Action RPG, Atmospheric, Choices Matter, Third Person, Story Rich, Character Customization, Comedy, Action, Great Soundtrack, Medieval, Magic, Sandbox, Funny",84.8
Torchlight II,200710,"Action, Adventure, Indie, RPG","RPG, Action RPG, Hack and Slash, Dungeon Crawler, Loot, Co-op, Fantasy, Online Co-Op, Multiplayer, Action, Adventure, Singleplayer, Indie, Moddable, Character Customization, Isometric, Replay Value, Steampunk, Atmospheric, Cartoon",93
The Witness,210970,"Adventure, Indie","Puzzle, Exploration, First-Person, Open World, Singleplayer, Colorful, Indie, Atmospheric, Difficult, Walking Simulator, Adventure, Mystery, Nonlinear, Relaxing, Philosophical, Casual, Surreal, Great Soundtrack, Story Rich, Sandbox",85.2
Magic 2015,255420,Strategy,"Card Game, Strategy, Trading Card Game, Magic, Multiplayer, Turn-Based, Fantasy, Singleplayer, Turn-Based Strategy, Adventure, Deckbuilding, Board Game",45.2
Yooka-Laylee,360830,"Action, Adventure, Indie","Collectathon, 3D Platformer, Adventure, Kickstarter, Indie, Platformer, Colorful, Action, Family Friendly, Great Soundtrack, Exploration, Singleplayer, Cute, Funny, Retro, Casual, Open World, Comedy, Cartoony, Multiplayer",75.9
Deadpool,224060,Action,"Funny, Action, Superhero, Singleplayer, Comedy, Shooter, Gore, Dark Humor, Adventure, Third Person, Hack and Slash, Comic Book, Mature, Nudity, Memes, Third-Person Shooter, Story Rich, Beat 'em up, Multiplayer, Open World",91.2
Mercenary Kings,218820,"Action, Adventure, Indie, RPG","Action, Indie, 2D, Co-op, Pixel Graphics, Platformer, Side Scroller, Local Co-Op, Adventure, Shooter, Crafting, RPG, Split Screen, Retro, Online Co-Op, Local Multiplayer, Shoot 'Em Up, Arcade, Kickstarter, Female Protagonist",70.5
N++,230270,Action,"Precision Platformer, Local Co-Op, Local Multiplayer, 2D Platformer, Action, Parkour, Difficult, Level Editor, Minimalist, Indie, Ninja, Singleplayer, Puzzle-Platformer, Fast-Paced, Colorful, 4 Player Local, Arcade, Family Friendly, Physics, Multiplayer",94.1
Dead Island,91310,"Action, RPG","zombie, first person shooter",86.7
The East New World,462950,"Action, Adventure, Indie, RPG","Adventure, RPG, Action, Indie, Platformer",50
Wasteland 2,240760,"Adventure, Indie, RPG, Strategy","RPG, Post-apocalyptic, Turn-Based, Strategy, Tactical, Adventure, Isometric, CRPG, Singleplayer, Kickstarter, Open World, Indie, Turn-Based Strategy, Sci-fi, Survival, Crowdfunded, Atmospheric, Exploration, Old School, Action RPG",82.3
resident evil 4,254700,"Action, Adventure","Inventory Management, Survival Horror, Action, Zombies, Horror, Third-Person Shooter, Singleplayer, Adventure, Classic, Third Person, Quick-Time Events, Atmospheric, Survival, Shooter, Gore, Replay Value, Remake, Great Soundtrack, Difficult, Multiplayer",91.9
Unepic,233980,"Action, Indie, RPG","RPG, Indie, Metroidvania, Platformer, Action, Comedy, 2D, Exploration, Fantasy, Adventure, Co-op, Singleplayer, Multiplayer, Funny, Side Scroller, Pixel Graphics, Retro, Magic, Epic, Online Co-Op",92
Plants vs. Zombies: Game of the Year,3590,Strategy,"Tower Defense, Zombies, Strategy, Singleplayer, Casual, Comedy, 2D, Classic, Great Soundtrack, Family Friendly, Funny, Puzzle, Cute, Addictive, Survival, Indie, Tactical, Touch-Friendly, Adventure, Post-apocalyptic",97.4
Mark of the Ninja,214560,"Action, Adventure, Indie","Stealth, Platformer, Ninja, Indie, 2D, Action, Singleplayer, Side Scroller, Adventure, Assassin, Atmospheric, Controller, Replay Value, Puzzle, Cartoon, Dark, Short, Story Rich, Strategy, Casual",97
The Whispered World Special Edition,268540,"Adventure, Indie","Adventure, Point & Click, Indie, Singleplayer, Puzzle, Story Rich, Fantasy, Atmospheric, Great Soundtrack, Escape Room, Comedy, Hand-drawn, 2D, Funny",75.7
Resident Evil 5,21690,"Action, Adventure","Action, Zombies, Co-op, Third-Person Shooter, Horror, Co-op Campaign, Online Co-Op, Adventure, Multiplayer, Third Person, Survival Horror, Shooter, Singleplayer, Local Co-Op, Female Protagonist, Quick-Time Events, Survival, Gore, Atmospheric, 3D Vision",87
Orcs Must Die! 2,201790,"Action, Adventure, Indie, RPG, Strategy","Tower Defense, Co-op, Action, Strategy, Online Co-Op, Indie, RPG, Third Person, Adventure, Multiplayer, Third-Person Shooter, Comedy, Singleplayer, Cartoony, Shooter, Fantasy, Female Protagonist, Controller, Funny, Great Soundtrack",93.7
Dust: An Elysian Tail,236090,"Action, Adventure, Indie, RPG","Action, Platformer, Metroidvania, Indie, RPG, Adventure, 2D, Singleplayer, Fantasy, Great Soundtrack, Beat 'em up, Hack and Slash, Exploration, Story Rich, Controller, Beautiful, Side Scroller, Anime, Action RPG, Atmospheric",95.6
DRAGON BALL XENOVERSE,323470,Action,"Anime, Fighting, Action, Character Customization, Multiplayer, Co-op, Adventure, Singleplayer, RPG, Online Co-Op, Third Person, Fantasy, Dragons, Beat 'em up, Controller, Open World, Action RPG, Funny, Fast-Paced, Local Co-Op",89.1
METAL SLUG,366250,Action,"Action, Arcade, 2D, Shoot 'Em Up, Retro, Classic, Co-op, Side Scroller, Multiplayer, Local Multiplayer, Shooter, Pixel Graphics, Local Co-Op, Funny, Platformer, Singleplayer, Adventure, Fast-Paced, Cartoony, Great Soundtrack",89.4
Sonic Generations,71340,Action,"Platformer, Great Soundtrack, Action, Fast-Paced, 3D Platformer, Singleplayer, 2D, Moddable, Adventure, Family Friendly, Classic, Colorful, Retro, Time Travel, 3D, Controller, Third Person, Replay Value, 3D Vision, Funny",93.1
Dead Rising 3,265550,Action,"Zombies, Action, Open World, Co-op, Gore, Survival, Comedy, Open World Survival Craft, Multiplayer, Third Person, Funny, Crafting, Adventure, Online Co-Op, Sandbox, Horror, Singleplayer, Survival Horror, Atmospheric, RPG",75.2
Owlboy,115800,"Action, Adventure, Indie","Pixel Graphics, Adventure, Indie, Great Soundtrack, Metroidvania, Platformer, 2D, Story Rich, Action, Atmospheric, Fantasy, Puzzle-Platformer, Singleplayer, Retro, Flight, Action-Adventure, Funny, Cute, Open World, RPG",84.6
Darksiders II Deathinitive Edition,388410,"Action, Adventure, RPG","Action, Hack and Slash, Adventure, RPG, Open World, Singleplayer, Third Person, Fantasy, Story Rich, Puzzle, Great Soundtrack, Action RPG, Dark Fantasy, Parkour, Loot, Gore, Spectacle fighter, Controller, Multiplayer, Metroidvania",77.6
Resident Evil 2,883710,Action,"Zombies, Survival Horror, Horror, Remake, Singleplayer, Third Person, Gore, Action, Atmospheric, Puzzle, Violent, Story Rich, Survival, Classic, Multiplayer, Female Protagonist, Dark, Adventure, Shooter, Difficult",97.1
Blasphemous,774361,"Action, Adventure, Indie","Metroidvania, Souls-like, Pixel Graphics, Gore, Dark Fantasy, Violent, 2D, Action, Indie, Difficult, Platformer, Adventure, Blood, Horror, Singleplayer, Gothic, Lore-Rich, Great Soundtrack, Side Scroller, Nudity",90.3
Cuphead,268910,"Action, Indie","Difficult, Cartoon, Co-op, Platformer, Great Soundtrack, Local Co-Op, 2D, Hand-drawn, Multiplayer, Indie, Retro, Cartoony, Bullet Hell, Action, Shoot 'Em Up, Singleplayer, Side Scroller, Colorful, Funny, Atmospheric",96.6
Hellblade: Senua's Sacrifice,414340,"Action, Adventure, Indie","Atmospheric, Psychological, Female Protagonist, Story Rich, Mythology, Singleplayer, Dark, Adventure, Third Person, Horror, Dark Fantasy, Action, Violent, Indie, Walking Simulator, Hack and Slash, Action-Adventure, Fantasy, Realistic, Blood",91.3
Oceanhorn: Monster of Uncharted Seas,339200,"Action, Adventure, Indie, RPG","Adventure, RPG, Action, Indie, Puzzle, Singleplayer, Fantasy, Action-Adventure, Open World, Isometric, Action RPG, Cartoony, JRPG, Controller, Exploration, Metroidvania, 3D, Colorful, Lore-Rich, Story Rich",79.9
Brütal Legend,225260,"Action, Adventure, Strategy","Action, Comedy, Adventure, Great Soundtrack, Open World, Music, Hack and Slash, Strategy, Third Person, Funny, RTS, Fantasy, Singleplayer, Gothic, Action-Adventure, Multiplayer, Atmospheric, Beat 'em up, RPG, Action RPG",93.1
River City Ransom: Underground,422810,"Action, Indie, RPG","Action, Beat 'em up, Retro, Indie, RPG, Pixel Graphics, PvE, Action RPG, PvP, Local Co-Op, Online Co-Op, 2D, Co-op, Competitive, Open World, Cartoon, 4 Player Local, Local Multiplayer, Side Scroller, Great Soundtrack",75.7
Blackguards,249650,"Action, Adventure, Indie, RPG, Strategy","RPG, Turn-Based, Strategy, Tactical, Fantasy, Indie, Singleplayer, Turn-Based Strategy, Adventure, Tactical RPG, Isometric, Hex Grid, Character Customization, Dark Fantasy, Turn-Based Tactics, Story Rich, Action, Difficult, CRPG, Turn-Based Combat",62
BloodRayne: Betrayal (Legacy),281220,Action,"Action, Hack and Slash, Female Protagonist, Platformer, 2D, Vampire, Gore, Singleplayer, Side Scroller, Anime, Difficult, Blood, Indie, Beat 'em up, Great Soundtrack, Horror",60.9
"Warhammer 40,000: Dawn of War III",285190,"Action, Simulation, Strategy","Warhammer 40K, Strategy, RTS, Sci-fi, Multiplayer, Action, Games Workshop, MOBA, Singleplayer, Gore, Base-Building, War, Atmospheric, Tactical, Co-op, Great Soundtrack, Story Rich, Classic, Violent, Casual",47.1
Plague Inc: Evolved,246620,"Casual, Indie, Simulation, Strategy","Strategy, Simulation, Outbreak Sim, Indie, Singleplayer, Multiplayer, Zombies, Casual, Tactical, Replay Value, Post-apocalyptic, Addictive, Realistic, 2D, Difficult, Atmospheric, Early Access, Co-op, Sandbox, Survival",94.5
Tumblestone,269710,"Action, Casual, Indie, Strategy","Indie, Casual, Action, Strategy, Puzzle, Match 3, Local Multiplayer, Singleplayer, 4 Player Local, Arcade, Local Co-Op, Co-op, 2D, Competitive, Split Screen, Multiplayer, Relaxing, Funny, Family Friendly, Hand-drawn",76.3
One Finger Death Punch,264200,"Action, Casual, Indie","Action, 2D Fighter, Fast-Paced, Indie, Beat 'em up, Fighting, Singleplayer, Addictive, 2D, Martial Arts, Casual, Difficult, Arcade, Great Soundtrack, Rhythm, Epic, Mouse only, Blood, Gore, Funny",98
Euro Truck Simulator 2,227300,"Indie, Simulation","Driving, Transportation, Simulation, Open World, Automobile Sim, Realistic, Moddable, Relaxing, Immersive Sim, Exploration, Economy, Management, Atmospheric, Multiplayer, Controller, Family Friendly, Third Person, Casual, Adventure, Indie",97.4
Always Sometimes Monsters,274310,"Indie, RPG","Indie, RPG, RPGMaker, Story Rich, Pixel Graphics, Choices Matter, LGBTQ+, Casual, Singleplayer, Walking Simulator, Great Soundtrack, Adventure, Romance, Female Protagonist, 2D, Visual Novel, Nudity, Interactive Fiction, Horror, Life Sim",74.9
Risk of Rain,248820,"Action, Indie, RPG","Action Roguelike, Rogue-like, Indie, Platformer, Action, Pixel Graphics, Great Soundtrack, Online Co-Op, Difficult, Perma Death, Co-op, 2D, Local Co-Op, Rogue-lite, Multiplayer, RPG, Singleplayer, Addictive, Replay Value, Survival",93.7
Terraria,105600,"Action, Adventure, Indie, RPG","Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Pixel Graphics, Crafting, Building, Exploration, Co-op, Open World, Online Co-Op, Indie, Action, RPG, Singleplayer, Replay Value, Platformer, Atmospheric",97.8
Teleglitch: Die More Edition,234390,"Action, Indie","Action Roguelike, Rogue-like, Indie, Top-Down Shooter, Difficult, Action, Perma Death, Singleplayer, Sci-fi, Rogue-lite, Top-Down, Pixel Graphics, Procedural Generation, Crafting, Survival Horror, Horror, Retro, Survival, Shooter, Atmospheric",85.2
Revolution Ace,274560,"Action, Adventure, Indie","Shoot 'Em Up, Indie, Action, Bullet Hell, Shooter, Arcade, Local Co-Op, Multiplayer, Top-Down, Adventure, Singleplayer, Retro, 2D, Anime, Sci-fi, Great Soundtrack, Difficult, Controller",72.1
Saints Row IV,206420,"Action, Adventure","Open World, Action, Comedy, Co-op, Third-Person Shooter, Superhero, Character Customization, Sandbox, Funny, Third Person, Adventure, Online Co-Op, Aliens, Parody , Multiplayer, Great Soundtrack, Singleplayer, Sci-fi, Dark Humor, Female Protagonist",88.7
Project Night,333860,"Action, Adventure, Indie","Indie, Adventure, Action, Horror, Survival Horror, Psychological Horror",25.8
Deponia Doomsday,421050,"Adventure, Indie","Adventure, Point & Click, Comedy, Indie, Singleplayer, Story Rich, Time Travel, Puzzle, Funny, 2D, Great Soundtrack, Steampunk, Hand-drawn, Dark Humor, Escape Room, Classic, Cult Classic, Retro",86.3
Saviors,314450,"Action, Indie, Strategy","Shoot 'Em Up, Bullet Hell, Action, Indie, Space, Great Soundtrack, Arcade, Strategy, 2D, Sci-fi, Singleplayer, Difficult, Shooter, Retro, Anime, Sandbox, Local Co-Op, Atmospheric, Gore, Story Rich",82.3
Tropico 4,57690,"Simulation, Strategy","City Builder, Simulation, Strategy, Management, Comedy, Sandbox, Singleplayer, Great Soundtrack, Economy, Real-Time with Pause, Politics, Building, Resource Management, Political, Funny, Cold War, RTS, Atmospheric, God Game, Capitalism",91.7
Mortal Kombat X,307780,Action,"Fighting, Gore, Action, Violent, Multiplayer, Blood, Mature, Local Multiplayer, 2D Fighter, Competitive, Atmospheric, Singleplayer, Arcade, Great Soundtrack, 2.5D, Online Co-Op, Fantasy, Third Person, Horror, Female Protagonist",83.6
Bastion,107100,"Action, Indie, RPG","Great Soundtrack, Indie, Action, Narration, Singleplayer, RPG, Hack and Slash, Story Rich, Dynamic Narration, Isometric, Adventure, Action RPG, Fantasy, Atmospheric, Colorful, Post-apocalyptic, 2D, Music, Twin Stick Shooter, Controller",95.6
Antichamber,219890,"Adventure, Indie","Puzzle, First-Person, Indie, Surreal, Exploration, Singleplayer, Abstract, Nonlinear, Adventure, Difficult, Minimalist, Atmospheric, Psychedelic, Psychological, Colorful, Great Soundtrack, Metroidvania, Replay Value, Sci-fi, Platformer",95.1
MURDERED: SOUL SUSPECT,233290,"Action, Adventure, RPG","Detective, Adventure, Mystery, Supernatural, Horror, Atmospheric, Singleplayer, Action, Crime, Story Rich, Third Person, Noir, Puzzle, Open World, RPG, Stealth, Dark, Walking Simulator, Point & Click, Short",85.3
Poof,243280,"Action, Indie, Strategy","Indie, Action, Strategy, Platformer, Tower Defense",75.8
Jotun: Valhalla Edition,323580,"Action, Adventure, Indie","Adventure, Mythology, Action, Indie, Female Protagonist, Hand-drawn, Difficult, Singleplayer, Atmospheric, Exploration, Great Soundtrack, 2D, Isometric, Fantasy, Vikings, Kickstarter, Controller, Story Rich, Souls-like, Boss Rush",77.7
NotTheNameWeWanted,369580,Casual,"Memes, Parody , Funny, Singleplayer, Satire, Indie, Comedy, Gore, Horror, Action, Open World, Difficult, Mature, Dating Sim, Multiplayer, Hand-drawn, Story Rich, Adventure",87.1
Clickr,45500,"Casual, Indie","Indie, Puzzle, Casual, Multiplayer, Fast-Paced, Clicker",80.1
The Night of the Rabbit,230820,"Adventure, Indie","Adventure, Point & Click, Indie, Fantasy, Story Rich, Singleplayer, Puzzle, Cult Classic, Classic, Retro, Atmospheric, 1990's, Great Soundtrack, Remake, Escape Room, Hand-drawn, Third Person, 2D, Horror",89.6
Wasteland 2: Director's Cut,404730,"Adventure, Indie, RPG, Strategy","strategy,",NA
Full Mojo Rampage,225280,"Action, Indie, RPG","Action Roguelike, Twin Stick Shooter, Bullet Hell, Mystery Dungeon, Rogue-lite, Collectathon, Difficult, Party-Based RPG, Action RPG, Rogue-like, Character Customization, RPG, Cute, Top-Down, 3D, Controller, Procedural Generation, Choices Matter, Action, Magic",84.5
Borealis,307170,"Action, Casual, Indie","Casual, Indie, Action, Score Attack, Crowdfunded, Music-Based Procedural Generation, Singleplayer, Procedural Generation, Bullet Hell, Relaxing, Psychedelic, Great Soundtrack, Funny, Music",59.9
AR-K,269890,"Adventure, Indie","Dark Humor, Adventure, Third Person, Difficult, Point & Click, Dystopian , Mystery, 2.5D, Female Protagonist, Singleplayer, Detective, Comedy, Mouse only, Atmospheric, Hidden Object, Puzzle, Retro, Crowdfunded, Classic, Dynamic Narration",56.7
Beyond Space,297100,"Action, Adventure, Simulation","Action, Simulation, Adventure, Space, Sci-fi",32.9
The Cat Lady,253110,"Adventure, Indie","Horror, Adventure, Story Rich, Female Protagonist, Indie, Psychological Horror, Point & Click, Dark, Atmospheric, Mature, Great Soundtrack, Psychological, Singleplayer, Drama, Emotional, Cats, Surreal, Puzzle, Exploration, Detective",93.5
Turok,405820,"Action, Adventure","Action, Adventure, Dinosaurs, FPS, Classic, Retro, Shooter, Singleplayer, First-Person, 1990's, Atmospheric, Gore, Old School, 3D Platformer, Cult Classic, Sci-fi, Fantasy, Platformer, Great Soundtrack, Multiplayer",94.1
Outlast,238320,"Action, Adventure, Indie","Horror, First-Person, Survival Horror, Atmospheric, Gore, Psychological Horror, Survival, Singleplayer, Adventure, Action, Dark, Indie, Stealth, Nudity, Multiplayer, Parkour, Difficult, Walking Simulator, 3D Vision, Sci-fi",96.4
Project Highrise,423580,"Simulation, Strategy","Simulation, Management, Strategy, Building, Singleplayer, 2D, Sandbox, Indie, Economy, Casual, City Builder, Pixel Graphics, Base-Building",84.4
Monkey Island 2: Special Edition,32460,Adventure,"Point & Click, Adventure, Comedy, Classic, Remake, Pirates, Puzzle, Singleplayer, 1990's, Funny, 2D, Retro, Cult Classic, Great Soundtrack, Story Rich, Escape Room, Atmospheric, Nostalgia",95.5
Resident Evil 6,221040,"Action, Adventure","Action, Zombies, Co-op, Third-Person Shooter, Horror, Co-op Campaign, Adventure, Online Co-Op, Multiplayer, Third Person, Shooter, Split Screen, Quick-Time Events, Local Co-Op, Survival Horror, Survival, Singleplayer, Atmospheric, Female Protagonist, Casual",79.9
Distance,233610,"Action, Indie, Racing","Racing, Great Soundtrack, Futuristic, Multiplayer, Level Editor, Indie, Action, Atmospheric, Fast-Paced, Singleplayer, Cyberpunk, Arcade, Local Multiplayer, Sci-fi, Split Screen, Survival, Platformer, 4 Player Local, VR, Horror",92.8
BattleBlock Theater,238460,"Action, Adventure, Casual, Indie","Co-op, Funny, Platformer, Comedy, Level Editor, Multiplayer, Local Co-Op, Cats, 2D, Online Co-Op, Action, Side Scroller, Local Multiplayer, Casual, Singleplayer, 2D Platformer, Puzzle-Platformer, Indie, Narration, Puzzle",97.3
Awesomenauts,204300,"Action, Free to Play, Indie, Strategy","MOBA, Multiplayer, 2D, Platformer, Action, Indie, Local Co-Op, Co-op, Great Soundtrack, Strategy, Free to Play, Controller, Local Multiplayer, Sci-fi, Online Co-Op, Competitive, Space, Side Scroller, Cartoon, Funny",84.7
Goodbye Deponia,241910,"Adventure, Indie","Adventure, Point & Click, Comedy, Singleplayer, Indie, Puzzle, Funny, Story Rich, Escape Room, Hand-drawn, Classic, 2D, Great Soundtrack, Cult Classic, Steampunk, Retro, 1990's",89.1
Castle Crashers,204360,"Action, Adventure, Casual, Indie, RPG","2D, Online Co-Op, Funny, Beat 'em up, Hack and Slash, Co-op, Adventure, 4 Player Local, Local Co-Op, Multiplayer, Local Multiplayer, Action, Singleplayer, Medieval, Cartoony, Cute, Comedy, RPG, Arcade, Casual",96.3
DRAGON BALL FighterZ,678950,Action,"Fighting, Anime, Action, 2D Fighter, Multiplayer, Local Multiplayer, Competitive, Controller, Singleplayer, Arcade, PvP, e-sports, Difficult, Fast-Paced, Spectacle fighter, Adventure, Beat 'em up, Third Person, Combat, Comic Book",90.4
POSTAL 2,223470,"Action, Adventure, Indie","Violent, Open World, First-Person, Dark Humor, Mature, Comedy, Funny, Sandbox, Third Person, Moddable, Gore, FPS, Action, Dark Comedy, Shooter, Multiplayer, Singleplayer, Classic, Adventure, Satire",96.3
Genital Jousting,469820,"Action, Indie","Sexual Content, Nudity, Action, Comedy, Multiplayer, NSFW, Indie, Funny, Memes, Mature, Local Multiplayer, Story Rich, Cute, Co-op, Great Soundtrack, Local Co-Op, Casual, Illuminati, Violent, Early Access",92
Broken Sword 3 - the Sleeping Dragon,33610,Adventure,"Adventure, Mystery, Point & Click, Puzzle, Singleplayer, Third Person, Atmospheric, Stealth, Female Protagonist, Quick-Time Events, Story Rich, Conspiracy, Retro, Action, 3D, Comedy, Funny, Sequel, Walking Simulator, 3D Platformer",57
DuckTales Remastered,237630,"Action, Adventure, Casual","Platformer, Adventure, Remake, Action, Retro, Casual, Classic, Great Soundtrack, Singleplayer, Cartoon, 2D, Family Friendly, Exploration, Difficult, Controller, Short, Nostalgia, Side Scroller, 2.5D, 2D Platformer",87.4
Resident Evil Revelations,222480,"Action, Adventure","Action, Horror, Zombies, Survival Horror, Third-Person Shooter, Adventure, Female Protagonist, Co-op, Third Person, Singleplayer, Online Co-Op, Multiplayer, Survival, Atmospheric, Shooter, Gore, Sci-fi, Great Soundtrack, Story Rich, FPS",86
Teslagrad,249590,Indie,"Platformer, Puzzle, Indie, Metroidvania, 2D, Steampunk, Puzzle-Platformer, Singleplayer, Action, Adventure, Difficult, Physics, Exploration, Side Scroller, Retro, Atmospheric, Great Soundtrack, Cute, Nonlinear, Dark Fantasy",85.1
Hell Yeah!,205230,Action,"Platformer, Action, 2D, Comedy, Singleplayer, Funny, Metroidvania, Gore, Adventure, Great Soundtrack, Side Scroller, Indie, Violent, Controller, Cute, Cartoony, Dark Humor, Difficult, Colorful",85.6
Super Daryl Deluxe,361230,"Action, Indie, RPG","Action, Indie, RPG, Hand-drawn, Metroidvania, 2D, Singleplayer, Great Soundtrack, Side Scroller, Funny, Comedy, Adventure, Atmospheric, Exploration, Co-op, Controller, Story Rich, Crowdfunded, Colorful, Surreal",88
Hades,1145360,"Action, Indie, RPG","Action Roguelike, Rogue-lite, Indie, Hack and Slash, Action, Mythology, RPG, Rogue-like, Great Soundtrack, Singleplayer, Story Rich, Dungeon Crawler, Replay Value, Isometric, Difficult, Action RPG, Hand-drawn, Atmospheric, Perma Death, Souls-like",98.6
Dead Island Definitive Edition,383150,Action,"Zombies, Co-op, Multiplayer, Survival, Open World, Action, Gore, Horror, First-Person, FPS, Online Co-Op, Singleplayer, Crafting, RPG, Survival Horror, Adventure, Nudity, Violent, Controller, Female Protagonist",82
Magicka,42910,"Action, RPG","Comedy, Co-op, Action, Fantasy, Online Co-Op, Magic, RPG, Multiplayer, Adventure, Funny, Local Co-Op, 4 Player Local, Indie, Local Multiplayer, Difficult, Singleplayer, Team-Based, Action RPG, Arcade, Strategy",88.5
Shovel Knight: Treasure Trove,250760,"Action, Adventure, Indie","Platformer, Pixel Graphics, Retro, Great Soundtrack, Indie, 2D, Adventure, Action, Singleplayer, Difficult, Side Scroller, Kickstarter, Fantasy, Old School, Medieval, Funny, Arcade, Comedy, Metroidvania, RPG",96.1
Second Sight,11550,Action,"Action, Third-Person Shooter, Classic, Stealth, Cult Classic, Story Rich, Psychological",82.1
Football Manager 2017,482730,"Simulation, Sports","Sports, Football (Soccer), Simulation, Football (American), Management, Strategy, Tactical, Multiplayer, Singleplayer, Casual, Action",59.2
Comedy Night,665360,"Casual, Indie, RPG, Simulation","Casual, Experimental, Comedy, Funny, Dark Humor, Dark Comedy, Immersive Sim, PvP, Cute, RPG, Life Sim, Character Customization, Third Person, Memes, Conversation, Atmospheric, Co-op, Simulation, Online Co-Op, Multiplayer",75
Planescape: Torment: Enhanced Edition,466300,"Adventure, RPG","RPG, Story Rich, CRPG, Isometric, Dark Fantasy, Choices Matter, Fantasy, Dungeons & Dragons, Adventure, Atmospheric, Philosophical, Singleplayer, Real-Time with Pause, Tactical RPG, Retro, Strategy, Action RPG, Action-Adventure, Dungeon Crawler, 2D",94.9
The Room Three,456750,"Adventure, Indie","Puzzle, Mystery, Adventure, Point & Click, Indie, Atmospheric, Singleplayer, Hidden Object, Lovecraftian, Horror, Dark, Story Rich, Psychological Horror, Multiple Endings, Escape Room, First-Person, Co-op, 3D, Short, Multiplayer",96.5
99 Spirits,258090,"Adventure, Indie, RPG","RPG, Anime, Indie, Adventure, JRPG, Female Protagonist, Singleplayer, Visual Novel, Puzzle, Fantasy, Exploration, Turn-Based Strategy, 2D, Dark Fantasy, Medieval, Mythology, Turn-Based Combat, Quick-Time Events, Text-Based, Cute",59.2
Conan Exiles,440900,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy","Survival, Open World, Building, Nudity, Open World Survival Craft, Crafting, Multiplayer, Sandbox, RPG, Massively Multiplayer, Action, Adventure, Online Co-Op, Exploration, Violent, Co-op, Singleplayer, Fantasy, Gore, PvP",78.4
Sherlock Holmes: The Devil's Daughter,350640,"Action, Adventure","Adventure, Detective, Mystery, Story Rich, Puzzle, Crime, Thriller, Singleplayer, Third Person, Action, Atmospheric, Point & Click, Choices Matter, Investigation, First-Person, Action-Adventure, 3D, Casual, Controller, Multiplayer",79.5
Supraball,321400,"Action, Casual, Free to Play, Indie, Sports","Sports, Multiplayer, Free to Play, First-Person, e-sports, Indie, Football (Soccer), Casual, Action, FPS, Early Access, Strategy, Co-op, Team-Based, Funny, Singleplayer, Controller, Competitive",77.5
Holy Potatoes! A Weapon Shop?!,363600,"Indie, Simulation","Simulation, Management, Indie, Casual, Crafting, Funny, Singleplayer, RPG",72.3
