name,appid_steam_games,genre,tags,positive_rating
The Dwarves,403970,RPG,"RPG, Fantasy, Real-Time with Pause, Tactical RPG, Adventure, Kickstarter, Singleplayer, Story Rich, Open World, Action, Great Soundtrack, Action RPG, Atmospheric",73.7
The Elder Scrolls III: Morrowind,22320,RPG,"RPG, Open World, Fantasy, Classic, Great Soundtrack, Moddable, Singleplayer, First-Person, Adventure, Cult Classic, Atmospheric, Magic, Exploration, Story Rich, Sandbox, Character Customization, Action RPG, Medieval, Action, Third Person",95.4
The Elder Scrolls V: Skyrim Special Edition,489830,RPG,"Open World, RPG, Adventure, Singleplayer, Fantasy, Character Customization, Dragons, Moddable, Story Rich, Magic, First-Person, Action, Atmospheric, Great Soundtrack, Third Person, Stealth, Classic, Remake, Female Protagonist, Walking Simulator",91.5
The Emerald Maiden: Symphony of Dreams,429610,"Adventure, Casual","Casual, Hidden Object, Adventure, Point & Click, Female Protagonist, Puzzle, Singleplayer, Horror, Fantasy, Story Rich, Great Soundtrack, Family Friendly, Indie, 2D, Atmospheric, Mystery",84.3
The Emptiness Deluxe Edition,356160,"Adventure, Casual","Adventure, Casual, Horror, Hidden Object, Point & Click",32.7
The Fidelio Incident,632070,"Adventure, Indie","Walking Simulator, Adventure, Indie, Singleplayer, Great Soundtrack, Exploration, First-Person, Puzzle, Story Rich, Mystery, Thriller, Atmospheric",77.8
The Fiend's Tavern,870510,"Casual, Indie","Indie, Casual",100
The Fifth Expedition,453030,"Action, Indie, Strategy, Early Access","Survival, Strategy, Action, Indie, Early Access, Atmospheric, Sci-fi, Post-apocalyptic, Difficult",63.2
The first thrust of God,773650,"Adventure, Casual, Indie, Simulation, Strategy","Strategy, Casual, Simulation, Adventure, Indie, Physics, Science",13.5
The Golf Club 2019 Featuring PGA TOUR,695290,"Indie, Simulation, Sports, Strategy","Sports, Simulation, Strategy, Indie, Golf",75.5
The Great Art Race,33580,"Simulation, Strategy","Strategy, Simulation, Trading",70.5
The Guilt and the Shadow,332630,"Adventure, Indie","Dark, Story Rich, Dark Fantasy, Puzzle, Short, Hand-drawn, Puzzle-Platformer, Horror, Psychological Horror, 2D, Psychological, Indie, Adventure, Singleplayer, Walking Simulator, Point & Click, Multiplayer, Comedy, Female Protagonist, Memes",78.2
The Hex,510420,Indie,"Indie, Singleplayer, Psychological Horror, Story Rich, Mystery, Pixel Graphics, Great Soundtrack, Dark, Funny, 2D, RPG, Multiple Endings, Replay Value, Memes, Adventure, Choices Matter, Horror, Puzzle, Platformer, 2D Fighter",94.1
The Home Of Closed Doors,1848300,Indie,"Exploration, Hidden Object, Funny, Atmospheric, Adventure, Singleplayer, Indie",40
The Indie Mixtape,352640,"Action, Adventure, Indie, RPG","Indie, Adventure, RPG, Action, Pixel Graphics",70.8
The Ingenious Machine: New and Improved Edition,334930,"Casual, Indie",NA,46.2
The Interactive Adventures of Dog Mendona and Pizzaboy,330420,Adventure,"Adventure, Point & Click, Comic Book",78.2
The I of the Dragon,279720,RPG,"RPG, Dragons, Singleplayer, Open World, Simulation",67.2
The Journey Down: Chapter Three,579760,"Adventure, Indie","Adventure, Point & Click, Indie, Great Soundtrack, Comedy, Story Rich, Singleplayer, Puzzle, Atmospheric",91.9
The Lab,450390,Free to Play,"Free to Play, VR, Action, Singleplayer, First-Person, Funny, Adventure, Sandbox, Casual, Sci-fi, Family Friendly, FPS, Puzzle, Shooter, Strategy, Memes, Archery, Atmospheric, Simulation, Multiplayer, VR Only",95.1
The Last Door - Collector's Edition,284390,"Adventure, Indie","Pixel Graphics, Point & Click, Story Rich, Horror, Great Soundtrack, Lovecraftian, Singleplayer, Adventure, Puzzle, Indie, 2D, Cult Classic, Retro, Classic, Psychological Horror, Remake",94.7
The Last Leviathan,489460,"Action, Adventure, Indie, Simulation, Strategy, Early Access","Sandbox, Simulation, Building, Naval, Strategy, Adventure, Action, Early Access, Indie, Physics, Naval Combat, Pirates, Sailing, Singleplayer, Destruction, Multiplayer",64.2
The Last Remnant,23310,RPG,"JRPG, RPG, Singleplayer, Fantasy, Turn-Based, Great Soundtrack, Turn-Based Strategy, Story Rich, Strategy, Turn-Based Tactics, Adventure, Difficult, Tactical, Controller, Open World, Action, Turn-Based Combat",81.3
The Legend of Korra,281690,"Action, Adventure","Action, Adventure, Female Protagonist, Character Action Game, Cartoon, Beat 'em up, Singleplayer, Anime, Fighting, Fantasy, Martial Arts, Spectacle fighter, Hack and Slash, Third Person, Casual, Great Soundtrack, Family Friendly, Magic, Steampunk, Atmospheric",82.2
The Letter,460430,"Adventure, Indie, RPG","Visual Novel, Horror, Choices Matter, Indie, Psychological Horror, Story Rich, Adventure, Anime, Mystery, Multiple Endings, Mature, RPG, Sexual Content, Interactive Fiction, Gore, Drama, Female Protagonist, Replay Value, Nonlinear, Dark",87.8
The Lonely Gorilla,675640,"Adventure, Casual, Indie, RPG, Simulation","Simulation, RPG, Indie, Casual, Adventure, Survival",58.6
The Lonely Helmet,1730310,"Adventure, Casual, Indie, Strategy","Adventure, Strategy, Platformer, Puzzle, 2D Platformer, Precision Platformer, Puzzle-Platformer, Side Scroller, 2D, Minimalist, Atmospheric, Casual, Indie, Family Friendly, Sci-fi, Space, Controller, Singleplayer",100
The Longest Journey,6310,"Action, Adventure, RPG","Adventure, Point & Click, Story Rich, Female Protagonist, Classic, Fantasy, Sci-fi, Singleplayer, Cult Classic, Puzzle, Great Soundtrack, 1990's, Retro, Funny, Futuristic, Remake, Atmospheric, Comedy, Cyberpunk, Third Person",90.8
The Momo Game,954530,Indie,"Indie, Horror, Survival Horror",42.3
The Mysterious Cities of Gold - Secret Paths,261940,"Adventure, Casual, Indie","Adventure, Casual, Indie, Puzzle",72.8
The Office Quest,810660,"Adventure, Indie","Adventure, Indie, Point & Click, Puzzle, 2D, Singleplayer, Story Rich, Atmospheric, Fantasy, Classic, Retro, Family Friendly, Mystery, Minigames, Narration, Hidden Object",93.7
"The Official GamingTaylor Game, Great Job!",881510,Action,"Action, Zombies, FPS",40.5
The Outbound Ghost,1276810,"Adventure, Indie, RPG","RPG, Party-Based RPG, Turn-Based Combat, Story Rich, Supernatural, Singleplayer, Choices Matter, Multiple Endings, Adventure, Exploration, Stylized, Mystery, Cute, Crafting, Open World, Atmospheric, Controller, Emotional, Action-Adventure, Wholesome",68.2
The Piano That Stops Time,1800690,"Casual, Indie","Casual, Visual Novel, 2D, Romance, Indie, Anime, Atmospheric, Drama, Emotional, Singleplayer, Crowdfunded",70.6
